title,org_name,url
Infirmier (e) H/F,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-infirmier-e-hf-2IQthBF5Wt4qZc3JHMB0
Cuisinier (F/H/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-cuisinier-fhx-2KzZqOYFEAdsgEnPt7HB
Chef Cuisinier (F/H),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-chef-cuisinier-fh-2LeqPnk1bAUJj24Hqr1d
Animation d'ateliers en ligne pour retraités,Ellii,https://jobs.makesense.org/fr/jobs/ellii-animation-dateliers-en-ligne-pour-retraites-2QnG8z84MOaIslX1WAP3
[Bénévole] Chargé.e d'entretien et maintenance des maisons_ H/F _ IDF,FRATRIES,https://jobs.makesense.org/fr/jobs/fratries-benevole-chargee-dentretien-et-maintenance-des-maisons-hf-idf-2cBCpMISxcaGCJwK8vuF
"Travailleur social diplômé (AS, CESF) - (H/F/X) - CDI",La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-travailleur-social-diplome-as-cesf-hfx-cdi-2f8I1RzHIt2wkPvVPI1R
Responsable de secteur dans les services à la personne (H/F),Petits-fils,https://jobs.makesense.org/fr/jobs/petits-fils-responsable-de-secteur-dans-les-services-a-la-personne-hf-2rJUChw0iLUBoDFowpqd
Conseiller en Insertion Professionnelle - Public MNA - H/F,Fondation Apprentis d'Auteuil,https://jobs.makesense.org/fr/jobs/fondation-apprentis-dauteuil-conseiller-en-insertion-professionnelle-public-mna-hf-2xRcwFC0wiHmbQLKB3E5
Directeur des services éducatifs et/ou sociaux (H/F/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-directeur-des-services-educatifs-etou-sociaux-hfx-2xtHdHkcIUlKAPrvfOZ4
"Travailleur social (AS, ES, CESF) PVS - CDI (F/H/X)",La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-travailleur-social-as-es-cesf-pvs-cdi-fhx-36wiRuqmbKM0y5ZY2vY0
Commercial B2B expérimenté H/F,Octopus Energy France,https://jobs.makesense.org/fr/jobs/octopus-energy-france-commercial-b2b-experimente-hf-3C9PNU23Ig5soom82teh
CDD - Chargé de relation des acteurs philanthropiques H/F,Fondation de France  ,https://jobs.makesense.org/fr/jobs/fondation-de-france-cdd-charge-de-relation-des-acteurs-philanthropiques-hf-3EB97jNPNYRu2mjoJQsS
référent personnes victimes de violences,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-referent-personnes-victimes-de-violences-3F8B9gh3tcOBs49ohwT4
Formateur/référent TP ADVF H/F/X - CDI,each One ,https://jobs.makesense.org/fr/jobs/each-one-formateurreferent-tp-advf-hfx-cdi-3JtfAtaXJCI4Ga8cCit5
Stage Bras droit CEO ,Eclosion,https://jobs.makesense.org/fr/jobs/eclosion-stage-bras-droit-ceo-3NoeFzBnCedbKy41i5d7
Psychologue (H/F) - CDI - temps partiel,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-psychologue-hf-cdi-temps-partiel-3PIdqAHL112A5ZKcshXX
 Stage - Responsable Partenariats tuteurs,ALVEUS,https://jobs.makesense.org/fr/jobs/alveus-stage-responsable-partenariats-tuteurs-3XCLrWylCjTWrEy2Q84S
Internship – Communication & marketing officer H/F,Blunomy (formerly Enea Consulting),https://jobs.makesense.org/fr/jobs/blunomy-formerly-enea-consulting-internship-communication-et-marketing-officer-hf-3iH4WFYzENtiGv6Ta4Ei
Responsable de secteur dans les services à la personne (H/F),Petits-fils,https://jobs.makesense.org/fr/jobs/petits-fils-responsable-de-secteur-dans-les-services-a-la-personne-hf-3uAFzg8if3L174myrTu7
Chargé·e de projet – Internationalisation (innovation sociale) H/F,Solinum,https://jobs.makesense.org/fr/jobs/solinum-chargee-de-projet-internationalisation-innovation-sociale-hf-45f8fwPkVRhO1xhHcYv5
MONITEUR EDUCATEUR,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-moniteur-educateur-4AlXPkRTMCwBWNUpRQQa
Offre de Stage : chef·fe de Projet junior [Agence de Fundraising],WE RISE,https://jobs.makesense.org/fr/jobs/we-rise-offre-de-stage-cheffe-de-projet-junior-agence-de-fundraising-4OBqv1PsmeiWpX2EatZC
Conseiller en insertion Professionnel - H/F,Groupe Ares,https://jobs.makesense.org/fr/jobs/groupe-ares-chargee-daccompagnement-social-et-professionnel-hf-4YikigyYmHSyvMLm7vrN
Stage - Entrepreneuriat & Education : Responsable Pédagogique,ALVEUS,https://jobs.makesense.org/fr/jobs/alveus-stage-entrepreneuriat-et-education-responsable-pedagogique-4ZYBsL76tzR1DIF913Pw
Stagiaire assistant·e communication,Ekopolis,https://jobs.makesense.org/fr/jobs/ekopolis-stagiaire-assistante-communication-4aKbBV4WqqmjQ7tAswlf
CDD - Responsable Partenariats Tuteurs,ALVEUS,https://jobs.makesense.org/fr/jobs/alveus-cdd-responsable-partenariats-tuteurs-54NDXMVUh3yTRw4cioW5
CHEF(FE) DE SECTEUR GMS H/F - PARIS 17e,Café joyeux ,https://jobs.makesense.org/fr/jobs/cafe-joyeux-cheffe-de-secteur-gms-hf-paris-17e-5I1WE8pDtsVpNEHWwV9I
Chef de projets Développement Junior H/F,Café joyeux ,https://jobs.makesense.org/fr/jobs/cafe-joyeux-chef-de-projets-developpement-junior-hf-5QQ7ZevUQt5HSqbTcoEm
Responsable développement commercial,Éditions Génépi,https://jobs.makesense.org/fr/jobs/editions-genepi-responsable-developpement-commercial-5RFSR38c8P7tR3TkAVbP
Infirmier Diplômé d'État CDI ESSIP (H/F/X),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-infirmier-diplome-detat-cdi-essip-hfx-5kQzkcOb7phuwDqu5DHp
AIDE SOIGNANTE - ASG -H/F/X,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-aide-soignante-asg-hfx-5lCbYJ6PTGEgdiHdWy3l
Stagiaire soutenir le déploiement des formations vie associative (H/F),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-stagiaire-soutenir-le-deploiement-des-formations-vie-associative-hf-5oiVueHOUumvIn05QVvl
Référent technique durabilité financière et entreprenariat F/H/X,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-referent-technique-durabilite-financiere-et-entreprenariat-fhx-5pVyLfpZtll2okft3QRm
Chargé(e) de communication/ digital / events,No Plastic In My Sea,https://jobs.makesense.org/fr/jobs/no-plastic-in-my-sea-chargee-de-communication-digital-events-5paa88ktxaebhidpF2g7
Data Analyst en alternance (H/F),HEC Paris,https://jobs.makesense.org/fr/jobs/hec-paris-data-analyst-en-alternance-hf-5rEHw2vOP7jgrQ36L5WX
Ouvrier maintenance des moyens généraux  H/F,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-ouvrier-maintenance-des-moyens-generaux-hf-5wAk8KOfVn4q35Mbz2az
EDUCATEUR SPECIALISE H/F ,Association Aurore,https://jobs.makesense.org/fr/jobs/association-aurore-educateur-specialise-hf-60TqbyxJkt1oVnqLipO5
Chargé·e de projet Timesheets,Première Urgence Internationale,https://jobs.makesense.org/fr/jobs/premiere-urgence-internationale-chargee-de-projet-timesheets-61uus58OvIcPn7G0EY5y
Assistant Administratif Support - H/F,Groupe Ares,https://jobs.makesense.org/fr/jobs/groupe-ares-assistant-administratif-support-hf-65EHoKClnhLUmKnn9ppH
CHARGÉ.E DEXPLOITATION - H/F,Groupe Ares,https://jobs.makesense.org/fr/jobs/groupe-ares-chargee-dexploitation-hf-6F5noszwHdPkgRXqPayN
GESTIONNAIRE IMMOBILIER H/F/X,La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-gestionnaire-immobilier-hfx-6JxF3zVS8Ic5kxgaqY5s
Educateur spécialisé en remobilisation scolaire H/F,Fondation Apprentis d'Auteuil,https://jobs.makesense.org/fr/jobs/fondation-apprentis-dauteuil-educateur-specialise-en-remobilisation-scolaire-hf-6L4lmJvqRcz1gvee2V6M
Charge d'études projeteur CAO (H/F),TRYON,https://jobs.makesense.org/fr/jobs/tryon-charge-detudes-projeteur-cao-hf-6ODrZKC0kyhXY49qHgdV
Chargé·e de projet Transformation,Première Urgence Internationale,https://jobs.makesense.org/fr/jobs/premiere-urgence-internationale-chargee-de-projet-transformation-6SaqXsrBSmDB7x6CjtiC
CDI - Responsable de Ruche / responsable pédagogique,ALVEUS,https://jobs.makesense.org/fr/jobs/alveus-cdi-responsable-de-ruche-responsable-pedagogique-6SumvgSO9QSXOee3fEnc
Formateur.trice (F/H),La Croix-Rouge française,https://jobs.makesense.org/fr/jobs/la-croix-rouge-francaise-formateurtrice-fh-6iPruAumRtu8xfLftd7g
Senior Software Engineer Fullstack (H/F) ,Hello Watt,https://jobs.makesense.org/fr/jobs/hello-watt-senior-software-engineer-fullstack-hf-6kjpcEjCpBfaL3yGcj03
CIP Coach EMPLOI RSA - H/F,Groupe Ares,https://jobs.makesense.org/fr/jobs/groupe-ares-cip-coach-emploi-rsa-hf-6mCkjLwRJ4RU4SPiKBxO
Chargé de Marketing Digital & Développement de Melchior (H/F),Institut de l'Entreprise,https://jobs.makesense.org/fr/jobs/institut-de-lentreprise-charge-de-marketing-digital-et-developpement-de-melchior-hf-6x8EmhyFyBF4qfWn0ec8
Responsable du pôle développement (H/F),Fondation Apprentis d'Auteuil,https://jobs.makesense.org/fr/jobs/fondation-apprentis-dauteuil-responsable-du-pole-developpement-hf-6yFYLR7D0l4t9EoWiteg
Chargé(e) de recrutement et d'accompagnement - F/H,Groupe Vitamine T ,https://jobs.makesense.org/fr/jobs/groupe-vitamine-t-chargee-de-recrutement-et-daccompagnement-fh-7INP21sGJ4oWEUihUWzA
Educateur en CDD MECS - H/F,Fondation Apprentis d'Auteuil,https://jobs.makesense.org/fr/jobs/fondation-apprentis-dauteuil-educateur-en-cdd-mecs-hf-7Nsbxyax2ASYDjIXkFrD
